id,text,has_figurative_language,figurative_type,difficulty,instance_count,category,subcategory,pattern,notes,dataset_name,dataset_category
29,The corporation's ethics policy is a paper tiger that roars impressively but lacks teeth or claws.,True,metaphor,hard,1,,,,,hard,original
30,"The pandemic moved through society like a dye injected into the bloodstream, revealing previously invisible connections.",True,simile,hard,1,,,,,hard,original
1,"The project was on life support. After months of setbacks, the team finally pulled the plug.",True,extended metaphor,medium,1,,,,,multi-sentence,original
2,"John walked into the interview with confidence. He was a lion entering his territory, ready to claim what was rightfully his.",True,metaphor,medium,1,,,,,multi-sentence,original
3,"The old library was a treasure chest of knowledge. Books lined the walls like precious gems, each one containing worlds waiting to be discovered.",True,extended metaphor,medium,1,,,,,multi-sentence,original
4,"The news hit her hard. She stood frozen, like a statue in the town square, unable to process what she had just heard.",True,simile,medium,1,,,,,multi-sentence,original
5,The company's stock plummeted overnight. Investors watched in horror as years of growth evaporated into thin air.,True,personification,medium,1,,,,,multi-sentence,original
6,The garden had been neglected for years. Weeds had declared victory and now ruled over their conquered territory with thorny authority.,True,personification,medium,1,,,,,multi-sentence,original
7,"The words hung in the air between them. Neither wanted to reach out and grab them, afraid of what might happen if they acknowledged the truth.",True,metaphor,medium,1,,,,,multi-sentence,original
8,"The deadline approached with relentless determination. Each tick of the clock was a footstep drawing nearer, hunting her down.",True,personification,hard,1,,,,,multi-sentence,original
9,"Memory is a fickle companion. One moment it shows you vivid scenes from your past, and the next it abandons you when you need it most.",True,personification,hard,1,,,,,multi-sentence,original
10,"The old house creaked and groaned in the wind. It was telling stories of generations past, whispering secrets only it remembered.",True,personification,medium,1,,,,,multi-sentence,original
11,"Her mind was a battlefield. Thoughts charged at each other with reckless abandon, casualties mounting with each passing moment of indecision.",True,extended metaphor,hard,1,,,,,multi-sentence,original
12,"The city never truly sleeps. It merely dozes, one eye always open, watching as people move through its veins at all hours.",True,personification,hard,1,,,,,multi-sentence,original
13,The first chapter was merely the appetizer. The author spent the rest of the book serving up a feast of ideas that left readers intellectually satisfied yet hungry for more.,True,extended metaphor,medium,1,,,,,multi-sentence,original
14,"The negotiation was a delicate dance. Both parties circled each other cautiously, neither willing to make the first significant move until they understood their partner's rhythm.",True,metaphor,medium,1,,,,,multi-sentence,original
15,"Depression is an unwelcome houseguest. It arrives without warning, makes itself at home, and refuses to leave no matter how unwelcome it becomes.",True,metaphor,hard,1,,,,,multi-sentence,original
16,"The courtroom fell silent as the witness took the stand. The atmosphere was as thick as fog, making it difficult for anyone to breathe normally.",True,simile,medium,1,,,,,multi-sentence,original
17,"The political campaign started strong but quickly lost momentum. What had begun as a mighty river was now barely a trickle, struggling to reach its destination.",True,metaphor,medium,1,,,,,multi-sentence,original
18,"The algorithm learned from each interaction. With every piece of data it consumed, it grew smarter, more efficient, evolving beyond its original programming.",True,personification,medium,1,,,,,multi-sentence,original
19,Social media is a double-edged sword. It connects us across vast distances while simultaneously building walls between people sitting in the same room.,True,metaphor,hard,1,,,,,multi-sentence,original
20,"The forest welcomed them with open arms. Branches swayed in greeting, and leaves whispered secrets as they passed beneath the ancient canopy.",True,personification,medium,1,,,,,multi-sentence,original
21,"Climate change isn't a distant threat. It's a predator already in our midst, stalking its prey with patient determination, waiting for the perfect moment to strike.",True,extended metaphor,hard,1,,,,,multi-sentence,original
22,The symphony built slowly toward its climax. Each instrument added its voice to the conversation until they were all shouting in perfect harmony.,True,personification,medium,1,,,,,multi-sentence,original
23,"Their relationship had weathered many storms. Now, in calmer waters, they navigated with the confidence of sailors who had seen the worst the sea could offer.",True,extended metaphor,medium,1,,,,,multi-sentence,original
24,"Grief comes in waves. Sometimes it's a gentle ripple that you can step over, and other times it's a tsunami that knocks you off your feet and drags you under.",True,metaphor,hard,1,,,,,multi-sentence,original
25,"The old professor was a living library. His mind contained volumes of knowledge, carefully cataloged and accessible through the simple act of asking a question.",True,metaphor,medium,1,,,,,multi-sentence,original
26,The startup ecosystem is a jungle. New companies must adapt quickly or be devoured by larger predators that have mastered the environment through years of evolution.,True,extended metaphor,hard,1,,,,,multi-sentence,original
27,"The painting captured more than just a scene. It imprisoned a moment in time, holding it captive for future generations to witness and experience.",True,personification,medium,1,,,,,multi-sentence,original
28,The debate quickly turned hostile. What began as a civilized exchange of ideas transformed into a battlefield where words were weapons and facts were the first casualties.,True,extended metaphor,hard,1,,,,,multi-sentence,original
29,The abandoned factory stood as a monument to a bygone era. Its empty halls echoed with the ghosts of machinery and the memory of busy hands that once gave it purpose.,True,personification,medium,1,,,,,multi-sentence,original
30,"Trust is like a mirror. Once broken, you can fix it, but you'll always see the cracks in the reflection, reminders of the damage that was done.",True,simile,medium,1,,,,,multi-sentence,original
1,The research team spent three months collecting data from various sources. They analyzed the information using statistical methods and machine learning algorithms. The results showed a clear correlation between the variables they were studying. This finding was consistent with previous studies in the field. They published their conclusions in a peer-reviewed journal and presented at an international conference.,False,none,medium,1,,,,,long-text,original
2,"The storm raged through the night, a furious beast clawing at the windows and howling its displeasure. Lightning split the sky into jagged pieces while thunder shook the foundations of the house. The family huddled together in the living room, listening to the rain drum against the roof like an impatient visitor. By morning, the tempest had moved on, leaving behind a landscape transformed. Broken branches and scattered debris told the story of the night's battle with nature.",True,extended metaphor,medium,1,,,,,long-text,original
3,The company announced its quarterly earnings report yesterday afternoon. Revenue increased by 12% compared to the same period last year. Operating expenses remained stable despite inflation pressures in the market. The CEO attributed the growth to new product launches and expanded market reach. Analysts predict continued positive performance for the next two quarters based on current trends.,False,none,medium,1,,,,,long-text,original
4,"The old library sits at the corner of Maple and Oak streets. It was built in 1892 and has been renovated three times since then. The collection includes over 50,000 books across various genres and subjects. Community events are held in the basement meeting room every weekend. The staff consists of four full-time librarians and several part-time assistants.",False,none,medium,1,,,,,long-text,original
5,"Democracy is a delicate ecosystem that requires constant maintenance to flourish. When citizens disengage from the political process, the system begins to wither at its roots. Special interests slither through the undergrowth, finding opportunities to choke out the common good. Media serves as the sunlight, essential for transparency but sometimes harsh or filtered through clouds of bias. Education is the water that nourishes new growth, ensuring future generations understand how to tend this precious garden. Without careful stewardship, even the most robust democratic institutions can be overrun by the weeds of corruption.",True,extended metaphor,hard,1,,,,,long-text,original
6,The hiking trail extends for 7.5 miles through varied terrain. The first section passes through dense forest before opening into a meadow. Hikers will encounter a small stream that can be crossed via stepping stones. The path becomes steeper as it approaches the mountain ridge. Most people complete the entire trail in approximately four hours.,False,none,medium,1,,,,,long-text,original
7,"Time slipped through her fingers like fine sand as she approached the deadline. Her mind was a battlefield of competing priorities, each one demanding immediate attention. The pressure mounted like a physical weight on her shoulders, making each movement feel like wading through deep water. Emails poured into her inbox in an endless flood, threatening to drown her in information. The office around her buzzed with activity, colleagues orbiting her desk like planets around a stressed sun. Somehow, despite the chaos swirling around her, she managed to find a moment of clarity to complete the project.",True,multiple metaphors,medium,1,,,,,long-text,original
8,"The new apartment building contains 24 units of varying sizes. Each apartment features modern appliances and energy-efficient windows. The monthly rent includes water, trash service, and access to community amenities. A security system monitors all entrances and common areas throughout the day. The location provides convenient access to public transportation and local shopping centers.",False,none,medium,1,,,,,long-text,original
9,"The historical museum opened a new exhibition on ancient civilizations last week. Artifacts from Egypt, Greece, and Rome are displayed in chronological order. Interactive displays allow visitors to learn about daily life in these societies. The exhibition was curated by Dr. James Wilson, a renowned archaeologist. Guided tours are available three times daily for those wanting additional information.",False,none,medium,1,,,,,long-text,original
10,"The words on the page were doors to other worlds, each paragraph a key that unlocked new realms of possibility. She lost herself in the labyrinth of the narrative, following characters who became as familiar as old friends. The author's voice was a gentle hand guiding her through emotional landscapes both foreign and intimately familiar. Time became elastic, stretching and contracting according to the rhythm of the story rather than the clock on her wall. As she turned the final page, she felt like a traveler returning from a long journey, carrying souvenirs of experience that would remain with her long after the book was shelved.",True,extended metaphor,medium,1,,,,,long-text,original
neg_001,The cat sat on the mat and cleaned its paws.,False,,easy,1,literal_description,,,Simple literal description,negative,phase1
neg_002,The temperature dropped to 32 degrees Fahrenheit at midnight.,False,,easy,1,factual_statement,,,Factual weather statement,negative,phase1
neg_003,She walked to the store and bought milk.,False,,easy,1,literal_description,,,Simple action description,negative,phase1
neg_004,The book has 300 pages and a blue cover.,False,,easy,1,factual_statement,,,Physical description,negative,phase1
neg_005,He arrived at the office at 9:00 AM.,False,,easy,1,factual_statement,,,Time statement,negative,phase1
neg_006,The tree is 50 feet tall.,False,,easy,1,factual_statement,,,Measurement,negative,phase1
neg_007,She wore a red dress to the party.,False,,easy,1,literal_description,,,Clothing description,negative,phase1
neg_008,The car has four wheels and a steering wheel.,False,,easy,1,factual_statement,,,Object description,negative,phase1
neg_009,He ate breakfast at 7:30 AM.,False,,easy,1,literal_description,,,Daily activity,negative,phase1
neg_010,The building has ten floors.,False,,easy,1,factual_statement,,,Structural description,negative,phase1
neg_011,She opened the door and entered the room.,False,,easy,1,literal_description,,,Action sequence,negative,phase1
neg_012,The water boiled at 100 degrees Celsius.,False,,easy,1,factual_statement,,,Scientific fact,negative,phase1
neg_013,He typed the email and clicked send.,False,,easy,1,literal_description,,,Computer action,negative,phase1
neg_014,The meeting started at 2:00 PM and ended at 3:30 PM.,False,,easy,1,factual_statement,,,Time range,negative,phase1
neg_015,She placed the book on the shelf.,False,,easy,1,literal_description,,,Physical action,negative,phase1
neg_016,The sun rises in the east and sets in the west.,False,,easy,1,factual_statement,,,Natural phenomenon,negative,phase1
neg_017,He turned on the light switch.,False,,easy,1,literal_description,,,Simple action,negative,phase1
neg_018,The phone rang three times before she answered.,False,,easy,1,literal_description,,,Event sequence,negative,phase1
neg_019,The coffee was hot when it was served.,False,,easy,1,factual_statement,,,Temperature description,negative,phase1
neg_020,She locked the door before leaving.,False,,easy,1,literal_description,,,Security action,negative,phase1
neg_021,The train departed from platform 5 at 6:15 PM.,False,,easy,1,factual_statement,,,Transportation schedule,negative,phase1
neg_022,He signed the document with a pen.,False,,easy,1,literal_description,,,Action with tool,negative,phase1
neg_023,The room measured 12 feet by 15 feet.,False,,easy,1,factual_statement,,,Spatial measurement,negative,phase1
neg_024,She poured water into the glass.,False,,easy,1,literal_description,,,Liquid transfer,negative,phase1
neg_025,The clock showed 11:45 AM.,False,,easy,1,factual_statement,,,Time display,negative,phase1
neg_026,He pressed the button to start the machine.,False,,easy,1,literal_description,,,Machine operation,negative,phase1
neg_027,The package weighed 5 pounds.,False,,easy,1,factual_statement,,,Weight measurement,negative,phase1
neg_028,She folded the laundry and put it away.,False,,easy,1,literal_description,,,Household task,negative,phase1
neg_029,The store opens at 9:00 AM on weekdays.,False,,easy,1,factual_statement,,,Business hours,negative,phase1
neg_030,He walked up the stairs to the second floor.,False,,easy,1,literal_description,,,Movement description,negative,phase1
neg_031,The chemical reaction produced carbon dioxide gas.,False,,medium,1,technical_language,,,Chemistry description,negative,phase1
neg_032,The algorithm sorts the array in O(n log n) time complexity.,False,,medium,1,technical_language,,,Computer science,negative,phase1
neg_033,The patient's blood pressure was 120/80 mmHg.,False,,medium,1,technical_language,,,Medical measurement,negative,phase1
neg_034,The protein consists of 250 amino acids arranged in a specific sequence.,False,,medium,1,technical_language,,,Biochemistry,negative,phase1
neg_035,The circuit contains three resistors connected in series.,False,,medium,1,technical_language,,,Electronics,negative,phase1
neg_036,"The database query returned 1,247 records in 0.3 seconds.",False,,medium,1,technical_language,,,Database operation,negative,phase1
neg_037,The telescope has a focal length of 1000mm and an aperture of 200mm.,False,,medium,1,technical_language,,,Optical specification,negative,phase1
neg_038,"The soil sample contained 15% clay, 40% silt, and 45% sand.",False,,medium,1,technical_language,,,Geological analysis,negative,phase1
neg_039,The function takes two parameters and returns a boolean value.,False,,medium,1,technical_language,,,Programming description,negative,phase1
neg_040,The engine produces 300 horsepower at 6000 RPM.,False,,medium,1,technical_language,,,Mechanical specification,negative,phase1
neg_041,The study included 500 participants aged 25 to 65 years.,False,,medium,1,technical_language,,,Research methodology,negative,phase1
neg_042,The molecule has a molecular weight of 180.16 g/mol.,False,,medium,1,technical_language,,,Chemistry measurement,negative,phase1
neg_043,"The server processes approximately 10,000 requests per second.",False,,medium,1,technical_language,,,System performance,negative,phase1
neg_044,The lens has a maximum aperture of f/1.8.,False,,medium,1,technical_language,,,Photography specification,negative,phase1
neg_045,The experiment was conducted at room temperature (25°C) and standard pressure.,False,,medium,1,technical_language,,,Experimental conditions,negative,phase1
neg_046,The network operates on the 802.11ac wireless standard.,False,,medium,1,technical_language,,,Networking protocol,negative,phase1
neg_047,The battery has a capacity of 5000 mAh and charges via USB-C.,False,,medium,1,technical_language,,,Electronic specification,negative,phase1
neg_048,The statistical analysis showed a p-value of 0.03.,False,,medium,1,technical_language,,,Statistical result,negative,phase1
neg_049,The material has a tensile strength of 500 MPa.,False,,medium,1,technical_language,,,Material property,negative,phase1
neg_050,The satellite orbits at an altitude of 400 kilometers.,False,,medium,1,technical_language,,,Orbital mechanics,negative,phase1
neg_051,She walked with a limp because of her injured ankle.,False,,medium,1,borderline_case,,,Literal comparison due to injury,negative,phase1
neg_052,The old house creaked when people walked on the wooden floors.,False,,medium,1,borderline_case,,,Natural sound description,negative,phase1
neg_053,He spoke loudly because the room was noisy.,False,,medium,1,literal_description,,,Causal explanation,negative,phase1
neg_054,The ice melted quickly in the warm room.,False,,medium,1,literal_description,,,Physical process,negative,phase1
neg_055,She repeated the instructions three times to ensure understanding.,False,,medium,1,literal_description,,,Communication action,negative,phase1
neg_056,The plant grew taller after being moved to a sunnier location.,False,,medium,1,literal_description,,,Growth observation,negative,phase1
neg_057,He practiced the piano for two hours every day.,False,,medium,1,literal_description,,,Routine activity,negative,phase1
neg_058,The paint dried within four hours.,False,,medium,1,literal_description,,,Time-based process,negative,phase1
neg_059,She organized the files alphabetically.,False,,medium,1,literal_description,,,Organization method,negative,phase1
neg_060,The bread rose during baking due to the yeast.,False,,medium,1,literal_description,,,Baking process,negative,phase1
neg_061,He adjusted the thermostat to increase the temperature.,False,,medium,1,literal_description,,,Climate control,negative,phase1
neg_062,The fabric shrank after being washed in hot water.,False,,medium,1,literal_description,,,Material change,negative,phase1
neg_063,She compared the two products before making a purchase.,False,,medium,1,literal_description,,,Decision process,negative,phase1
neg_064,The battery drained after six hours of continuous use.,False,,medium,1,literal_description,,,Power depletion,negative,phase1
neg_065,He followed the recipe exactly as written.,False,,medium,1,literal_description,,,Instruction adherence,negative,phase1
neg_066,The traffic moved slowly during rush hour.,False,,medium,1,literal_description,,,Traffic condition,negative,phase1
neg_067,She saved the document before closing the application.,False,,medium,1,literal_description,,,Computer procedure,negative,phase1
neg_068,The candle burned for three hours before going out.,False,,medium,1,literal_description,,,Combustion duration,negative,phase1
neg_069,He measured the ingredients carefully.,False,,medium,1,literal_description,,,Precision action,negative,phase1
neg_070,The window rattled when the wind blew strongly.,False,,medium,1,borderline_case,,,Natural physical effect,negative,phase1
neg_071,The Supreme Court ruled on the case in a 5-4 decision.,False,,medium,1,factual_statement,,,Legal outcome,negative,phase1
neg_072,The company reported quarterly earnings of $2.3 billion.,False,,medium,1,factual_statement,,,Financial report,negative,phase1
neg_073,The population of the city increased by 3% last year.,False,,medium,1,factual_statement,,,Demographic statistic,negative,phase1
neg_074,The legislation passed with bipartisan support.,False,,medium,1,factual_statement,,,Political process,negative,phase1
neg_075,The university offers 150 undergraduate degree programs.,False,,medium,1,factual_statement,,,Educational information,negative,phase1
neg_076,"The bridge spans 2,000 feet across the river.",False,,medium,1,factual_statement,,,Infrastructure measurement,negative,phase1
neg_077,"The museum houses a collection of 5,000 artifacts.",False,,medium,1,factual_statement,,,Collection size,negative,phase1
neg_078,The treaty was signed by representatives from 25 countries.,False,,medium,1,factual_statement,,,International agreement,negative,phase1
neg_079,"The festival attracts approximately 50,000 visitors annually.",False,,medium,1,factual_statement,,,Event attendance,negative,phase1
neg_080,The project was completed two weeks ahead of schedule.,False,,medium,1,factual_statement,,,Timeline achievement,negative,phase1
neg_081,The theorem states that the sum of angles in a triangle equals 180 degrees.,False,,hard,1,technical_language,,,Mathematical principle,negative,phase1
neg_082,The quantum state collapses upon measurement according to the Copenhagen interpretation.,False,,hard,1,technical_language,,,Physics theory,negative,phase1
neg_083,The phylogenetic analysis revealed a monophyletic clade with strong bootstrap support.,False,,hard,1,technical_language,,,Evolutionary biology,negative,phase1
neg_084,The hermeneutic approach emphasizes the importance of context in textual interpretation.,False,,hard,1,technical_language,,,Literary theory,negative,phase1
neg_085,The epistemological framework distinguishes between a priori and a posteriori knowledge.,False,,hard,1,technical_language,,,Philosophy,negative,phase1
neg_086,The econometric model accounts for heteroskedasticity using robust standard errors.,False,,hard,1,technical_language,,,Economics methodology,negative,phase1
neg_087,The archaeological evidence suggests continuous occupation from the Neolithic period.,False,,hard,1,technical_language,,,Historical analysis,negative,phase1
neg_088,The neurological examination revealed decreased proprioception in the lower extremities.,False,,hard,1,technical_language,,,Medical diagnosis,negative,phase1
neg_089,The syntactic structure exhibits left-branching with multiple embedded clauses.,False,,hard,1,technical_language,,,Linguistics,negative,phase1
neg_090,The thermodynamic process is reversible under ideal conditions.,False,,hard,1,technical_language,,,Physics principle,negative,phase1
neg_091,The jurisprudential debate centers on the tension between legal positivism and natural law theory.,False,,hard,1,technical_language,,,Legal philosophy,negative,phase1
neg_092,The paleontological record shows a mass extinction event at the Cretaceous-Paleogene boundary.,False,,hard,1,technical_language,,,Geological history,negative,phase1
neg_093,The immunological response involves both humoral and cell-mediated mechanisms.,False,,hard,1,technical_language,,,Immunology,negative,phase1
neg_094,The sociological analysis employs a structural-functionalist perspective.,False,,hard,1,technical_language,,,Social theory,negative,phase1
neg_095,The cryptographic protocol ensures confidentiality through asymmetric encryption.,False,,hard,1,technical_language,,,Computer security,negative,phase1
neg_096,The phenomenological method involves bracketing presuppositions to examine lived experience.,False,,hard,1,technical_language,,,Philosophy methodology,negative,phase1
neg_097,The geopolitical situation reflects the multipolar distribution of power among nation-states.,False,,hard,1,technical_language,,,International relations,negative,phase1
neg_098,The ontological argument attempts to prove existence through conceptual analysis alone.,False,,hard,1,technical_language,,,Philosophy argument,negative,phase1
neg_099,The morphological features include agglutinative affixation and vowel harmony.,False,,hard,1,technical_language,,,Linguistics description,negative,phase1
neg_100,The astrophysical observations confirm the presence of dark matter through gravitational lensing.,False,,hard,1,technical_language,,,Astronomy finding,negative,phase1
neg_101,The committee reviewed the proposal and voted to approve it.,False,,medium,1,literal_description,,,Organizational process,negative,phase1
neg_102,The software update fixed several bugs and improved performance.,False,,medium,1,literal_description,,,Technical improvement,negative,phase1
neg_103,"The survey collected responses from 1,000 participants over three weeks.",False,,medium,1,literal_description,,,Research data collection,negative,phase1
neg_104,"The construction project required 500 tons of steel and 2,000 cubic yards of concrete.",False,,medium,1,factual_statement,,,Construction materials,negative,phase1
neg_105,The athlete completed the marathon in 3 hours and 45 minutes.,False,,medium,1,factual_statement,,,Performance time,negative,phase1
neg_106,The restaurant serves lunch from 11:30 AM to 2:30 PM daily.,False,,easy,1,factual_statement,,,Service hours,negative,phase1
neg_107,The medication should be taken twice daily with food.,False,,medium,1,factual_statement,,,Medical instruction,negative,phase1
neg_108,The flight was delayed by 90 minutes due to weather conditions.,False,,medium,1,factual_statement,,,Travel disruption,negative,phase1
neg_109,"The garden contains roses, tulips, and daisies.",False,,easy,1,literal_description,,,Plant inventory,negative,phase1
neg_110,The presentation lasted 45 minutes and included 30 slides.,False,,medium,1,factual_statement,,,Presentation details,negative,phase1
neg_111,"The recipe requires three eggs, two cups of flour, and one cup of sugar.",False,,easy,1,factual_statement,,,Recipe ingredients,negative,phase1
neg_112,The library is open Monday through Friday from 8 AM to 8 PM.,False,,easy,1,factual_statement,,,Operating hours,negative,phase1
neg_113,The exam consists of 50 multiple-choice questions and two essay questions.,False,,medium,1,factual_statement,,,Test format,negative,phase1
neg_114,The parking lot has spaces for 200 vehicles.,False,,easy,1,factual_statement,,,Capacity information,negative,phase1
