id,pair_id,statement_type,text,metaphor,analogy,simile,personification,literal,difficulty,domain,notes
10b,10,literal,"The old man creaked and groaned as he stood up. He was telling stories of generations past and whispering details only he remembered.",false,false,false,false,true,easy,everyday,"Literal - person making sounds and telling stories"
11,11,figurative,"Her mind was a battlefield. Thoughts charged at each other with reckless abandon, casualties mounting with each passing moment of indecision.",true,false,false,false,false,hard,psychology,"Extended metaphor - mind as battlefield"
11b,11,literal,"The area was a battlefield. Soldiers charged at each other with reckless abandon, casualties growing with each moment of combat.",false,false,false,false,true,easy,military,"Literal - actual battlefield with soldiers"
12,12,figurative,"The city never truly sleeps. It merely dozes, one eye always open, watching as people move through its veins at all hours.",false,false,false,true,false,hard,urban,"Personification - city as living being"
12b,12,literal,"The baby never truly sleeps through the night. She merely dozes, one eye opening frequently, watching as her parents move through the house at all hours.",false,false,false,false,true,easy,parenting,"Literal - baby sleeping lightly"
13,13,figurative,"The first chapter was merely the appetizer. The author spent the rest of the book serving up a feast of ideas that left readers intellectually satisfied yet hungry for more.",true,false,false,false,false,medium,literature,"Extended metaphor - book as meal"
13b,13,literal,"The first course was merely the appetizer. The chef spent the rest of the meal serving a feast of dishes that left diners physically satisfied yet wanting more dessert.",false,false,false,false,true,easy,dining,"Literal - actual meal with courses"
14,14,figurative,"The negotiation was a delicate dance. Both parties circled each other cautiously, neither willing to make the first significant move until they understood their partner's rhythm.",true,false,false,false,false,medium,business,"Metaphor - negotiation as dance"
14b,14,literal,"The ballroom dance was delicate. Both partners circled each other cautiously, neither willing to make the first significant move until they understood their partner's rhythm.",false,false,false,false,true,easy,dance,"Literal - actual dance partners"
15,15,figurative,"Depression is an unwelcome houseguest. It arrives without warning, makes itself at home, and refuses to leave no matter how unwelcome it becomes.",true,false,false,false,false,hard,psychology,"Metaphor - depression as houseguest"
15b,15,literal,"My cousin is an unwelcome houseguest. He arrived without warning, made himself comfortable at home, and refuses to leave no matter how many times I ask.",false,false,false,false,true,easy,family,"Literal - actual unwelcome houseguest"
16,16,figurative,"The courtroom fell silent as the witness took the stand. The atmosphere was as thick as fog, making it difficult for anyone to breathe normally.",false,false,true,false,false,medium,legal,"Simile - atmosphere as fog"
16b,16,literal,"The surrounding trees fell silent as the group entered the valley. The fog was thick, making it difficult for anyone to see the path clearly.",false,false,false,false,true,easy,outdoor,"Literal - actual thick fog"
17,17,figurative,"The political campaign started strong but quickly lost momentum. What had begun as a mighty river was now barely a trickle, struggling to reach its destination.",true,false,false,false,false,medium,politics,"Metaphor - campaign as river"
17b,17,literal,"The mountain stream started strong but quickly lost volume. What had begun as a big river was now a trickle, hardly able to flow to the valley below.",false,false,false,false,true,easy,nature,"Literal - actual river losing water"
18,18,figurative,"The algorithm learned from each interaction. With every piece of data it consumed, it grew smarter, more efficient, evolving beyond its original programming.",false,false,false,true,false,medium,technology,"Personification - algorithm as learning being"
18b,18,literal,"The student learned from each interaction with the tutor. With every piece of information she learned, she grew smarter and more efficient at solving problems.",false,false,false,false,true,easy,education,"Literal - student learning"
19,19,figurative,"Social media is a double-edged sword. It connects us across vast distances while simultaneously building walls between people sitting in the same room.",true,false,false,false,false,hard,technology,"Metaphor - social media as weapon"
19b,19,literal,"The kitchen knife is a double-edged sword. It has sharp edges on both sides, making it useful for certain cuts but dangerous to handle carelessly.",false,false,false,false,true,easy,cooking,"Literal - actual double-edged blade"
20,20,figurative,"The forest welcomed them with open arms. Branches swayed in greeting, and leaves whispered secrets as they passed beneath the ancient canopy.",false,false,false,true,false,medium,nature,"Personification - forest as host"
20b,20,literal,"The host welcomed them with open arms. She gestured warmly in greeting, and spoke quietly as they moved through the entrance into the house.",false,false,false,false,true,easy,social,"Literal - actual host welcoming guests"
21,21,figurative,"Climate change isn't a distant threat. It's a predator already in our midst, stalking its prey with patient determination, waiting for the perfect moment to strike.",true,false,false,false,false,hard,environment,"Extended metaphor - climate change as predator"
21b,21,literal,"The wolf isn't a distant threat to the livestock. It's a predator already in the area, stalking its prey with determination, waiting for the perfect moment to strike.",false,false,false,false,true,easy,nature,"Literal - actual predator stalking prey"
22,22,figurative,"The symphony built slowly toward its climax. Each instrument added its voice to the conversation until they were all shouting in perfect harmony.",false,false,false,true,false,medium,music,"Personification - instruments as speakers"
22b,22,literal,"The debate built slowly toward its climax. Each speaker added their voice to the conversation until they were all shouting in disagreement.",false,false,false,false,true,easy,communication,"Literal - people speaking and shouting"
23,23,figurative,"Their relationship had weathered many storms. Now, in calmer waters, they navigated with the confidence of sailors who had seen the worst the sea could offer.",true,false,false,false,false,medium,relationships,"Extended metaphor - relationship as sea voyage"
23b,23,literal,"Their sailboat had weathered many storms. Now, in calmer waters, they navigated with the confidence of sailors who had seen the worst parts of the sea.",false,false,false,false,true,easy,sailing,"Literal - actual boat in storms and calm waters"
24,24,figurative,"Grief comes in waves. Sometimes it's a gentle ripple that you can step over, and other times it's a tsunami that knocks you off your feet and drags you under.",true,false,false,false,false,hard,psychology,"Metaphor - grief as ocean waves"
24b,24,literal,"The ocean comes in waves. Sometimes it's a small ripple that you can step over on the beach, and other times it's a big wave that knocks you off your feet and pulls you under the water.",false,false,false,false,true,easy,ocean,"Literal - actual ocean waves"
25,25,figurative,"The old professor was a living library. His mind contained volumes of knowledge, carefully cataloged and accessible through the simple act of asking a question.",true,false,false,false,false,medium,education,"Metaphor - person as library"
25b,25,literal,"The university building was a large library. Its shelves contained volumes of books, carefully cataloged and accessible through the simple act of searching the database.",false,false,false,false,true,easy,education,"Literal - actual library building"
26,26,figurative,"The startup ecosystem is a jungle. New companies must adapt quickly or be devoured by larger predators that have mastered the environment through years of evolution.",true,false,false,false,false,hard,business,"Extended metaphor - business as jungle"
26b,26,literal,"The rainforest ecosystem is a jungle. New animals must adapt quickly or be eaten by larger predators that have mastered the environment through years of evolution.",false,false,false,false,true,easy,nature,"Literal - actual jungle ecosystem"
27,27,figurative,"The painting captured more than just a scene. It imprisoned a moment in time, holding it captive for future generations to witness and experience.",false,false,false,true,false,medium,art,"Personification - painting as captor"
27b,27,literal,"The photograph captured more than just a scene. It recorded a moment in time, preserving it for future generations to witness and view.",false,false,false,false,true,easy,photography,"Literal - photograph recording a moment"
28,28,figurative,"The debate quickly turned hostile. What began as a civilized exchange of ideas transformed into a battlefield where words were weapons and facts were the first casualties.",true,false,false,false,false,hard,communication,"Extended metaphor - debate as warfare"
28b,28,literal,"The protest quickly turned hostile. What began as a peaceful gathering transformed into a violent confrontation where objects were thrown and people were injured.",false,false,false,false,true,easy,social,"Literal - actual violent confrontation"
29,29,figurative,"The abandoned factory stood as a monument to a bygone era. Its empty halls echoed with the ghosts of machinery and the memory of busy hands that once gave it purpose.",false,false,false,true,false,medium,industrial,"Personification - factory as memorial"
29b,29,literal,"The war memorial stood as a monument to a bygone era. Its empty halls echoed with footsteps and displayed photographs of soldiers that once gave it meaning.",false,false,false,false,true,easy,memorial,"Literal - actual monument/memorial"
30,30,figurative,"Trust is like a mirror. Once broken, you can fix it, but you'll always see the cracks in the reflection, reminders of the damage that was done.",false,false,true,false,false,medium,relationships,"Simile - trust as mirror"
30b,30,literal,"The bathroom mirror broke. Once broken, you can glue it back together, but you'll always see the cracks in the glass, reminders of the damage that was done.",false,false,false,false,true,easy,everyday,"Literal - actual broken mirror"

