text_id,domain,text,decisions_json,factors_json
dset09_ai_ml_3d3f_76125617,ai_ml,"We decided to standardize on a single vector database because simplify operations, migration risk for existing apps. We also chose to deploy retrieval-augmented generation due to index maintenance overhead, hallucination reduction. We also chose to pause model training to audit data quality due to milestone deadlines approaching, label drift observed.","[""standardize on a single vector database"", ""deploy retrieval-augmented generation"", ""pause model training to audit data quality""]","[{""decision"": ""standardize on a single vector database"", ""factor"": ""simplify operations"", ""polarity"": ""supporting""}, {""decision"": ""standardize on a single vector database"", ""factor"": ""migration risk for existing apps"", ""polarity"": ""opposing""}, {""decision"": ""deploy retrieval-augmented generation"", ""factor"": ""index maintenance overhead"", ""polarity"": ""opposing""}, {""decision"": ""deploy retrieval-augmented generation"", ""factor"": ""hallucination reduction"", ""polarity"": ""supporting""}, {""decision"": ""pause model training to audit data quality"", ""factor"": ""milestone deadlines approaching"", ""polarity"": ""opposing""}, {""decision"": ""pause model training to audit data quality"", ""factor"": ""label drift observed"", ""polarity"": ""supporting""}]"
dset09_ai_ml_3d4f_99990728,ai_ml,"We decided to adopt transformer models because availability of pretrained checkpoints, high inference latency, state-of-the-art accuracy on benchmarks, team expertise with attention architectures. We also chose to standardize on a single vector database due to migration risk for existing apps, simplify operations. We also chose to pause model training to audit data quality due to milestone deadlines approaching, label drift observed.","[""adopt transformer models"", ""standardize on a single vector database"", ""pause model training to audit data quality""]","[{""decision"": ""adopt transformer models"", ""factor"": ""availability of pretrained checkpoints"", ""polarity"": ""supporting""}, {""decision"": ""adopt transformer models"", ""factor"": ""high inference latency"", ""polarity"": ""opposing""}, {""decision"": ""adopt transformer models"", ""factor"": ""state-of-the-art accuracy on benchmarks"", ""polarity"": ""supporting""}, {""decision"": ""adopt transformer models"", ""factor"": ""team expertise with attention architectures"", ""polarity"": ""supporting""}, {""decision"": ""standardize on a single vector database"", ""factor"": ""migration risk for existing apps"", ""polarity"": ""opposing""}, {""decision"": ""standardize on a single vector database"", ""factor"": ""simplify operations"", ""polarity"": ""supporting""}, {""decision"": ""pause model training to audit data quality"", ""factor"": ""milestone deadlines approaching"", ""polarity"": ""opposing""}, {""decision"": ""pause model training to audit data quality"", ""factor"": ""label drift observed"", ""polarity"": ""supporting""}]"
dset09_ai_ml_4d1f_14716857,ai_ml,We decided to adopt transformer models because availability of pretrained checkpoints. We also chose to reduce training budget due to executive directive to cut opex 10%. We also chose to standardize on a single vector database due to migration risk for existing apps. We also chose to deploy retrieval-augmented generation due to index maintenance overhead.,"[""adopt transformer models"", ""reduce training budget"", ""standardize on a single vector database"", ""deploy retrieval-augmented generation""]","[{""decision"": ""adopt transformer models"", ""factor"": ""availability of pretrained checkpoints"", ""polarity"": ""supporting""}, {""decision"": ""reduce training budget"", ""factor"": ""executive directive to cut opex 10%"", ""polarity"": ""supporting""}, {""decision"": ""standardize on a single vector database"", ""factor"": ""migration risk for existing apps"", ""polarity"": ""opposing""}, {""decision"": ""deploy retrieval-augmented generation"", ""factor"": ""index maintenance overhead"", ""polarity"": ""opposing""}]"
dset09_ai_ml_4d2f_91306093,ai_ml,"We decided to adopt transformer models because GPU capacity constraints, availability of pretrained checkpoints. We also chose to standardize on a single vector database due to simplify operations, migration risk for existing apps. We also chose to deploy retrieval-augmented generation due to hallucination reduction, index maintenance overhead. We also chose to pause model training to audit data quality due to milestone deadlines approaching, label drift observed.","[""adopt transformer models"", ""standardize on a single vector database"", ""deploy retrieval-augmented generation"", ""pause model training to audit data quality""]","[{""decision"": ""adopt transformer models"", ""factor"": ""GPU capacity constraints"", ""polarity"": ""opposing""}, {""decision"": ""adopt transformer models"", ""factor"": ""availability of pretrained checkpoints"", ""polarity"": ""supporting""}, {""decision"": ""standardize on a single vector database"", ""factor"": ""simplify operations"", ""polarity"": ""supporting""}, {""decision"": ""standardize on a single vector database"", ""factor"": ""migration risk for existing apps"", ""polarity"": ""opposing""}, {""decision"": ""deploy retrieval-augmented generation"", ""factor"": ""hallucination reduction"", ""polarity"": ""supporting""}, {""decision"": ""deploy retrieval-augmented generation"", ""factor"": ""index maintenance overhead"", ""polarity"": ""opposing""}, {""decision"": ""pause model training to audit data quality"", ""factor"": ""milestone deadlines approaching"", ""polarity"": ""opposing""}, {""decision"": ""pause model training to audit data quality"", ""factor"": ""label drift observed"", ""polarity"": ""supporting""}]"
dset09_ai_ml_4d3f_00435578,ai_ml,"We decided to pause model training to audit data quality because milestone deadlines approaching, label drift observed. We also chose to reduce training budget due to cost overruns last quarter, executive directive to cut opex 10%, critical launch timelines at risk. We also chose to standardize on a single vector database due to migration risk for existing apps, simplify operations. We also chose to deploy retrieval-augmented generation due to hallucination reduction, index maintenance overhead.","[""pause model training to audit data quality"", ""reduce training budget"", ""standardize on a single vector database"", ""deploy retrieval-augmented generation""]","[{""decision"": ""pause model training to audit data quality"", ""factor"": ""milestone deadlines approaching"", ""polarity"": ""opposing""}, {""decision"": ""pause model training to audit data quality"", ""factor"": ""label drift observed"", ""polarity"": ""supporting""}, {""decision"": ""reduce training budget"", ""factor"": ""cost overruns last quarter"", ""polarity"": ""supporting""}, {""decision"": ""reduce training budget"", ""factor"": ""executive directive to cut opex 10%"", ""polarity"": ""supporting""}, {""decision"": ""reduce training budget"", ""factor"": ""critical launch timelines at risk"", ""polarity"": ""opposing""}, {""decision"": ""standardize on a single vector database"", ""factor"": ""migration risk for existing apps"", ""polarity"": ""opposing""}, {""decision"": ""standardize on a single vector database"", ""factor"": ""simplify operations"", ""polarity"": ""supporting""}, {""decision"": ""deploy retrieval-augmented generation"", ""factor"": ""hallucination reduction"", ""polarity"": ""supporting""}, {""decision"": ""deploy retrieval-augmented generation"", ""factor"": ""index maintenance overhead"", ""polarity"": ""opposing""}]"
dset09_ai_ml_4d4f_80388981,ai_ml,"We decided to standardize on a single vector database because simplify operations, migration risk for existing apps. We also chose to adopt transformer models due to availability of pretrained checkpoints, GPU capacity constraints, state-of-the-art accuracy on benchmarks, high inference latency. We also chose to pause model training to audit data quality due to milestone deadlines approaching, label drift observed. We also chose to reduce training budget due to critical launch timelines at risk, cost overruns last quarter, executive directive to cut opex 10%.","[""standardize on a single vector database"", ""adopt transformer models"", ""pause model training to audit data quality"", ""reduce training budget""]","[{""decision"": ""standardize on a single vector database"", ""factor"": ""simplify operations"", ""polarity"": ""supporting""}, {""decision"": ""standardize on a single vector database"", ""factor"": ""migration risk for existing apps"", ""polarity"": ""opposing""}, {""decision"": ""adopt transformer models"", ""factor"": ""availability of pretrained checkpoints"", ""polarity"": ""supporting""}, {""decision"": ""adopt transformer models"", ""factor"": ""GPU capacity constraints"", ""polarity"": ""opposing""}, {""decision"": ""adopt transformer models"", ""factor"": ""state-of-the-art accuracy on benchmarks"", ""polarity"": ""supporting""}, {""decision"": ""adopt transformer models"", ""factor"": ""high inference latency"", ""polarity"": ""opposing""}, {""decision"": ""pause model training to audit data quality"", ""factor"": ""milestone deadlines approaching"", ""polarity"": ""opposing""}, {""decision"": ""pause model training to audit data quality"", ""factor"": ""label drift observed"", ""polarity"": ""supporting""}, {""decision"": ""reduce training budget"", ""factor"": ""critical launch timelines at risk"", ""polarity"": ""opposing""}, {""decision"": ""reduce training budget"", ""factor"": ""cost overruns last quarter"", ""polarity"": ""supporting""}, {""decision"": ""reduce training budget"", ""factor"": ""executive directive to cut opex 10%"", ""polarity"": ""supporting""}]"
dset09_ai_ml_5d1f_09289546,ai_ml,We decided to reduce training budget because cost overruns last quarter. We also chose to pause model training to audit data quality due to milestone deadlines approaching. We also chose to adopt transformer models due to GPU capacity constraints. We also chose to standardize on a single vector database due to migration risk for existing apps. We also chose to deploy retrieval-augmented generation due to hallucination reduction.,"[""reduce training budget"", ""pause model training to audit data quality"", ""adopt transformer models"", ""standardize on a single vector database"", ""deploy retrieval-augmented generation""]","[{""decision"": ""reduce training budget"", ""factor"": ""cost overruns last quarter"", ""polarity"": ""supporting""}, {""decision"": ""pause model training to audit data quality"", ""factor"": ""milestone deadlines approaching"", ""polarity"": ""opposing""}, {""decision"": ""adopt transformer models"", ""factor"": ""GPU capacity constraints"", ""polarity"": ""opposing""}, {""decision"": ""standardize on a single vector database"", ""factor"": ""migration risk for existing apps"", ""polarity"": ""opposing""}, {""decision"": ""deploy retrieval-augmented generation"", ""factor"": ""hallucination reduction"", ""polarity"": ""supporting""}]"
dset09_ai_ml_5d2f_90152297,ai_ml,"We decided to deploy retrieval-augmented generation because index maintenance overhead, hallucination reduction. We also chose to standardize on a single vector database due to simplify operations, migration risk for existing apps. We also chose to adopt transformer models due to high inference latency, availability of pretrained checkpoints. We also chose to reduce training budget due to cost overruns last quarter, critical launch timelines at risk. We also chose to pause model training to audit data quality due to label drift observed, milestone deadlines approaching.","[""deploy retrieval-augmented generation"", ""standardize on a single vector database"", ""adopt transformer models"", ""reduce training budget"", ""pause model training to audit data quality""]","[{""decision"": ""deploy retrieval-augmented generation"", ""factor"": ""index maintenance overhead"", ""polarity"": ""opposing""}, {""decision"": ""deploy retrieval-augmented generation"", ""factor"": ""hallucination reduction"", ""polarity"": ""supporting""}, {""decision"": ""standardize on a single vector database"", ""factor"": ""simplify operations"", ""polarity"": ""supporting""}, {""decision"": ""standardize on a single vector database"", ""factor"": ""migration risk for existing apps"", ""polarity"": ""opposing""}, {""decision"": ""adopt transformer models"", ""factor"": ""high inference latency"", ""polarity"": ""opposing""}, {""decision"": ""adopt transformer models"", ""factor"": ""availability of pretrained checkpoints"", ""polarity"": ""supporting""}, {""decision"": ""reduce training budget"", ""factor"": ""cost overruns last quarter"", ""polarity"": ""supporting""}, {""decision"": ""reduce training budget"", ""factor"": ""critical launch timelines at risk"", ""polarity"": ""opposing""}, {""decision"": ""pause model training to audit data quality"", ""factor"": ""label drift observed"", ""polarity"": ""supporting""}, {""decision"": ""pause model training to audit data quality"", ""factor"": ""milestone deadlines approaching"", ""polarity"": ""opposing""}]"
dset09_ai_ml_5d3f_09528530,ai_ml,"We decided to adopt transformer models because GPU capacity constraints, availability of pretrained checkpoints, team expertise with attention architectures. We also chose to reduce training budget due to executive directive to cut opex 10%, cost overruns last quarter, critical launch timelines at risk. We also chose to pause model training to audit data quality due to milestone deadlines approaching, label drift observed. We also chose to standardize on a single vector database due to migration risk for existing apps, simplify operations. We also chose to deploy retrieval-augmented generation due to index maintenance overhead, hallucination reduction.","[""adopt transformer models"", ""reduce training budget"", ""pause model training to audit data quality"", ""standardize on a single vector database"", ""deploy retrieval-augmented generation""]","[{""decision"": ""adopt transformer models"", ""factor"": ""GPU capacity constraints"", ""polarity"": ""opposing""}, {""decision"": ""adopt transformer models"", ""factor"": ""availability of pretrained checkpoints"", ""polarity"": ""supporting""}, {""decision"": ""adopt transformer models"", ""factor"": ""team expertise with attention architectures"", ""polarity"": ""supporting""}, {""decision"": ""reduce training budget"", ""factor"": ""executive directive to cut opex 10%"", ""polarity"": ""supporting""}, {""decision"": ""reduce training budget"", ""factor"": ""cost overruns last quarter"", ""polarity"": ""supporting""}, {""decision"": ""reduce training budget"", ""factor"": ""critical launch timelines at risk"", ""polarity"": ""opposing""}, {""decision"": ""pause model training to audit data quality"", ""factor"": ""milestone deadlines approaching"", ""polarity"": ""opposing""}, {""decision"": ""pause model training to audit data quality"", ""factor"": ""label drift observed"", ""polarity"": ""supporting""}, {""decision"": ""standardize on a single vector database"", ""factor"": ""migration risk for existing apps"", ""polarity"": ""opposing""}, {""decision"": ""standardize on a single vector database"", ""factor"": ""simplify operations"", ""polarity"": ""supporting""}, {""decision"": ""deploy retrieval-augmented generation"", ""factor"": ""index maintenance overhead"", ""polarity"": ""opposing""}, {""decision"": ""deploy retrieval-augmented generation"", ""factor"": ""hallucination reduction"", ""polarity"": ""supporting""}]"
dset09_ai_ml_5d4f_32614537,ai_ml,"We decided to standardize on a single vector database because simplify operations, migration risk for existing apps. We also chose to deploy retrieval-augmented generation due to index maintenance overhead, hallucination reduction. We also chose to pause model training to audit data quality due to milestone deadlines approaching, label drift observed. We also chose to reduce training budget due to cost overruns last quarter, executive directive to cut opex 10%, critical launch timelines at risk. We also chose to adopt transformer models due to state-of-the-art accuracy on benchmarks, GPU capacity constraints, availability of pretrained checkpoints, team expertise with attention architectures.","[""standardize on a single vector database"", ""deploy retrieval-augmented generation"", ""pause model training to audit data quality"", ""reduce training budget"", ""adopt transformer models""]","[{""decision"": ""standardize on a single vector database"", ""factor"": ""simplify operations"", ""polarity"": ""supporting""}, {""decision"": ""standardize on a single vector database"", ""factor"": ""migration risk for existing apps"", ""polarity"": ""opposing""}, {""decision"": ""deploy retrieval-augmented generation"", ""factor"": ""index maintenance overhead"", ""polarity"": ""opposing""}, {""decision"": ""deploy retrieval-augmented generation"", ""factor"": ""hallucination reduction"", ""polarity"": ""supporting""}, {""decision"": ""pause model training to audit data quality"", ""factor"": ""milestone deadlines approaching"", ""polarity"": ""opposing""}, {""decision"": ""pause model training to audit data quality"", ""factor"": ""label drift observed"", ""polarity"": ""supporting""}, {""decision"": ""reduce training budget"", ""factor"": ""cost overruns last quarter"", ""polarity"": ""supporting""}, {""decision"": ""reduce training budget"", ""factor"": ""executive directive to cut opex 10%"", ""polarity"": ""supporting""}, {""decision"": ""reduce training budget"", ""factor"": ""critical launch timelines at risk"", ""polarity"": ""opposing""}, {""decision"": ""adopt transformer models"", ""factor"": ""state-of-the-art accuracy on benchmarks"", ""polarity"": ""supporting""}, {""decision"": ""adopt transformer models"", ""factor"": ""GPU capacity constraints"", ""polarity"": ""opposing""}, {""decision"": ""adopt transformer models"", ""factor"": ""availability of pretrained checkpoints"", ""polarity"": ""supporting""}, {""decision"": ""adopt transformer models"", ""factor"": ""team expertise with attention architectures"", ""polarity"": ""supporting""}]"
