text_id,domain,text_original,text_refined,decisions_gt,factors_gt,k_decisions,l_factors_per_decision,text_len_words,text_len_bucket
dset09_climate_change_3d3f_79864260,climate_change,"We decided to launch national reforestation program because carbon sequestration potential. We also chose to phase out coal plants due to grid reliability concerns, air quality and health benefits. We also chose to implement carbon pricing due to impact on low-income households, internalize emission externalities.","We launched a national reforestation program due to its significant carbon sequestration potential. Phase-out of coal plants was selected despite grid reliability concerns, as the resulting improvements in air quality and public health provide strong benefits. Carbon pricing was implemented to internalize emission externalities, though its impact on low-income households remains a consideration.","[""launch national reforestation program"", ""phase out coal plants"", ""implement carbon pricing""]","[{""decision"": ""launch national reforestation program"", ""factor"": ""carbon sequestration potential"", ""polarity"": ""supporting""}, {""decision"": ""phase out coal plants"", ""factor"": ""grid reliability concerns"", ""polarity"": ""opposing""}, {""decision"": ""phase out coal plants"", ""factor"": ""air quality and health benefits"", ""polarity"": ""supporting""}, {""decision"": ""implement carbon pricing"", ""factor"": ""impact on low-income households"", ""polarity"": ""opposing""}, {""decision"": ""implement carbon pricing"", ""factor"": ""internalize emission externalities"", ""polarity"": ""supporting""}]",3,2,46,31-60
dset09_climate_change_3d4f_77701200,climate_change,"We decided to phase out coal plants because grid reliability concerns, air quality and health benefits. We also chose to launch national reforestation program due to carbon sequestration potential. We also chose to invest in climate adaptation infrastructure due to increasing flood risk.","We decided to phase out coal plants due to grid reliability concerns, as well as the air quality and health benefits. The national reforestation program was launched in recognition of its carbon sequestration potential. Additionally, investment in climate adaptation infrastructure was made in response to increasing flood risk.","[""phase out coal plants"", ""launch national reforestation program"", ""invest in climate adaptation infrastructure""]","[{""decision"": ""phase out coal plants"", ""factor"": ""grid reliability concerns"", ""polarity"": ""opposing""}, {""decision"": ""phase out coal plants"", ""factor"": ""air quality and health benefits"", ""polarity"": ""supporting""}, {""decision"": ""launch national reforestation program"", ""factor"": ""carbon sequestration potential"", ""polarity"": ""supporting""}, {""decision"": ""invest in climate adaptation infrastructure"", ""factor"": ""increasing flood risk"", ""polarity"": ""supporting""}]",3,2,43,31-60
dset09_climate_change_4d1f_27415205,climate_change,We decided to expand renewable energy subsidies because accelerate clean energy adoption. We also chose to invest in climate adaptation infrastructure due to increasing flood risk. We also chose to phase out coal plants due to air quality and health benefits. We also chose to implement carbon pricing due to internalize emission externalities.,We expanded renewable energy subsidies to accelerate clean energy adoption. Rising flood risk prompted investment in climate adaptation infrastructure. Phasing out coal plants was chosen for the resulting improvements in air quality and public health. Carbon pricing was implemented to internalize emission externalities.,"[""expand renewable energy subsidies"", ""invest in climate adaptation infrastructure"", ""phase out coal plants"", ""implement carbon pricing""]","[{""decision"": ""expand renewable energy subsidies"", ""factor"": ""accelerate clean energy adoption"", ""polarity"": ""supporting""}, {""decision"": ""invest in climate adaptation infrastructure"", ""factor"": ""increasing flood risk"", ""polarity"": ""supporting""}, {""decision"": ""phase out coal plants"", ""factor"": ""air quality and health benefits"", ""polarity"": ""supporting""}, {""decision"": ""implement carbon pricing"", ""factor"": ""internalize emission externalities"", ""polarity"": ""supporting""}]",4,1,53,31-60
dset09_climate_change_4d2f_61367643,climate_change,"We decided to implement carbon pricing because impact on low-income households, internalize emission externalities. We also chose to launch national reforestation program due to carbon sequestration potential. We also chose to invest in climate adaptation infrastructure due to increasing flood risk. We also chose to expand renewable energy subsidies due to accelerate clean energy adoption, fiscal budget pressures.","We implemented carbon pricing to internalize emission externalities, despite concerns about its impact on low-income households. A national reforestation program was launched to leverage its carbon sequestration potential. Climate adaptation infrastructure was invested in response to increasing flood risk. Renewable energy subsidies were expanded to accelerate clean energy adoption, though this decision also faces challenges from fiscal budget pressures.","[""implement carbon pricing"", ""launch national reforestation program"", ""invest in climate adaptation infrastructure"", ""expand renewable energy subsidies""]","[{""decision"": ""implement carbon pricing"", ""factor"": ""impact on low-income households"", ""polarity"": ""opposing""}, {""decision"": ""implement carbon pricing"", ""factor"": ""internalize emission externalities"", ""polarity"": ""supporting""}, {""decision"": ""launch national reforestation program"", ""factor"": ""carbon sequestration potential"", ""polarity"": ""supporting""}, {""decision"": ""invest in climate adaptation infrastructure"", ""factor"": ""increasing flood risk"", ""polarity"": ""supporting""}, {""decision"": ""expand renewable energy subsidies"", ""factor"": ""accelerate clean energy adoption"", ""polarity"": ""supporting""}, {""decision"": ""expand renewable energy subsidies"", ""factor"": ""fiscal budget pressures"", ""polarity"": ""opposing""}]",4,2,59,31-60
dset09_climate_change_4d3f_72160068,climate_change,"We decided to launch national reforestation program because carbon sequestration potential. We also chose to expand renewable energy subsidies due to fiscal budget pressures, accelerate clean energy adoption. We also chose to invest in climate adaptation infrastructure due to increasing flood risk. We also chose to implement carbon pricing due to impact on low-income households, internalize emission externalities.","We launched a national reforestation program due to its significant carbon sequestration potential. To address fiscal budget pressures while still advancing clean energy adoption, we expanded renewable energy subsidies. In response to the growing threat of flooding, we invested in climate adaptation infrastructure. Additionally, we implemented carbon pricing, recognizing its role in internalizing emission externalities, despite concerns about its impact on low-income households.","[""launch national reforestation program"", ""expand renewable energy subsidies"", ""invest in climate adaptation infrastructure"", ""implement carbon pricing""]","[{""decision"": ""launch national reforestation program"", ""factor"": ""carbon sequestration potential"", ""polarity"": ""supporting""}, {""decision"": ""expand renewable energy subsidies"", ""factor"": ""fiscal budget pressures"", ""polarity"": ""opposing""}, {""decision"": ""expand renewable energy subsidies"", ""factor"": ""accelerate clean energy adoption"", ""polarity"": ""supporting""}, {""decision"": ""invest in climate adaptation infrastructure"", ""factor"": ""increasing flood risk"", ""polarity"": ""supporting""}, {""decision"": ""implement carbon pricing"", ""factor"": ""impact on low-income households"", ""polarity"": ""opposing""}, {""decision"": ""implement carbon pricing"", ""factor"": ""internalize emission externalities"", ""polarity"": ""supporting""}]",4,2,59,31-60
dset09_climate_change_4d4f_49597086,climate_change,"We decided to invest in climate adaptation infrastructure because increasing flood risk. We also chose to launch national reforestation program due to carbon sequestration potential. We also chose to implement carbon pricing due to impact on low-income households, internalize emission externalities. We also chose to phase out coal plants due to grid reliability concerns, air quality and health benefits.","We invested in climate adaptation infrastructure in response to increasing flood risk. A national reforestation program was launched to leverage its carbon sequestration potential. Carbon pricing was implemented to internalize emission externalities, despite concerns about its impact on low-income households. Coal plants were phased out due to grid reliability concerns, yet this move also delivers significant air quality and health benefits.","[""invest in climate adaptation infrastructure"", ""launch national reforestation program"", ""implement carbon pricing"", ""phase out coal plants""]","[{""decision"": ""invest in climate adaptation infrastructure"", ""factor"": ""increasing flood risk"", ""polarity"": ""supporting""}, {""decision"": ""launch national reforestation program"", ""factor"": ""carbon sequestration potential"", ""polarity"": ""supporting""}, {""decision"": ""implement carbon pricing"", ""factor"": ""impact on low-income households"", ""polarity"": ""opposing""}, {""decision"": ""implement carbon pricing"", ""factor"": ""internalize emission externalities"", ""polarity"": ""supporting""}, {""decision"": ""phase out coal plants"", ""factor"": ""grid reliability concerns"", ""polarity"": ""opposing""}, {""decision"": ""phase out coal plants"", ""factor"": ""air quality and health benefits"", ""polarity"": ""supporting""}]",4,2,60,31-60
dset09_climate_change_5d1f_18024248,climate_change,We decided to implement carbon pricing because impact on low-income households. We also chose to launch national reforestation program due to carbon sequestration potential. We also chose to invest in climate adaptation infrastructure due to increasing flood risk. We also chose to expand renewable energy subsidies due to accelerate clean energy adoption. We also chose to phase out coal plants due to grid reliability concerns.,"We implemented carbon pricing despite its impact on low-income households. A national reforestation program was launched to leverage its carbon sequestration potential. In response to increasing flood risk, we invested in climate adaptation infrastructure. To accelerate clean energy adoption, renewable energy subsidies were expanded. Due to grid reliability concerns, we proceeded with phasing out coal plants.","[""implement carbon pricing"", ""launch national reforestation program"", ""invest in climate adaptation infrastructure"", ""expand renewable energy subsidies"", ""phase out coal plants""]","[{""decision"": ""implement carbon pricing"", ""factor"": ""impact on low-income households"", ""polarity"": ""opposing""}, {""decision"": ""launch national reforestation program"", ""factor"": ""carbon sequestration potential"", ""polarity"": ""supporting""}, {""decision"": ""invest in climate adaptation infrastructure"", ""factor"": ""increasing flood risk"", ""polarity"": ""supporting""}, {""decision"": ""expand renewable energy subsidies"", ""factor"": ""accelerate clean energy adoption"", ""polarity"": ""supporting""}, {""decision"": ""phase out coal plants"", ""factor"": ""grid reliability concerns"", ""polarity"": ""opposing""}]",5,1,66,61-120
dset09_climate_change_5d2f_96316277,climate_change,"We decided to expand renewable energy subsidies because accelerate clean energy adoption, fiscal budget pressures. We also chose to launch national reforestation program due to carbon sequestration potential. We also chose to invest in climate adaptation infrastructure due to increasing flood risk. We also chose to implement carbon pricing due to internalize emission externalities, impact on low-income households. We also chose to phase out coal plants due to grid reliability concerns, air quality and health benefits.","We expanded renewable energy subsidies to accelerate clean energy adoption, despite fiscal budget pressures. A national reforestation program was launched to leverage its carbon sequestration potential. In response to increasing flood risk, we invested in climate adaptation infrastructure. Carbon pricing was implemented to internalize emission externalities, though its impact on low-income households presented a challenge. We also moved to phase out coal plants, balancing grid reliability concerns against the significant air quality and health benefits they offer.","[""expand renewable energy subsidies"", ""launch national reforestation program"", ""invest in climate adaptation infrastructure"", ""implement carbon pricing"", ""phase out coal plants""]","[{""decision"": ""expand renewable energy subsidies"", ""factor"": ""accelerate clean energy adoption"", ""polarity"": ""supporting""}, {""decision"": ""expand renewable energy subsidies"", ""factor"": ""fiscal budget pressures"", ""polarity"": ""opposing""}, {""decision"": ""launch national reforestation program"", ""factor"": ""carbon sequestration potential"", ""polarity"": ""supporting""}, {""decision"": ""invest in climate adaptation infrastructure"", ""factor"": ""increasing flood risk"", ""polarity"": ""supporting""}, {""decision"": ""implement carbon pricing"", ""factor"": ""internalize emission externalities"", ""polarity"": ""supporting""}, {""decision"": ""implement carbon pricing"", ""factor"": ""impact on low-income households"", ""polarity"": ""opposing""}, {""decision"": ""phase out coal plants"", ""factor"": ""grid reliability concerns"", ""polarity"": ""opposing""}, {""decision"": ""phase out coal plants"", ""factor"": ""air quality and health benefits"", ""polarity"": ""supporting""}]",5,2,77,61-120
dset09_climate_change_5d3f_12388090,climate_change,"We decided to implement carbon pricing because internalize emission externalities, impact on low-income households. We also chose to invest in climate adaptation infrastructure due to increasing flood risk. We also chose to launch national reforestation program due to carbon sequestration potential. We also chose to expand renewable energy subsidies due to accelerate clean energy adoption, fiscal budget pressures. We also chose to phase out coal plants due to grid reliability concerns, air quality and health benefits.","We implemented carbon pricing to internalize emission externalities, though we acknowledge its potential impact on low-income households. In response to increasing flood risk, we chose to invest in climate adaptation infrastructure. A national reforestation program was launched to leverage its carbon sequestration potential. Renewable energy subsidies were expanded to accelerate clean energy adoption, despite ongoing fiscal budget pressures. Finally, we decided to phase out coal plants due to grid reliability concerns, while recognizing the significant air quality and health benefits.","[""implement carbon pricing"", ""invest in climate adaptation infrastructure"", ""launch national reforestation program"", ""expand renewable energy subsidies"", ""phase out coal plants""]","[{""decision"": ""implement carbon pricing"", ""factor"": ""internalize emission externalities"", ""polarity"": ""supporting""}, {""decision"": ""implement carbon pricing"", ""factor"": ""impact on low-income households"", ""polarity"": ""opposing""}, {""decision"": ""invest in climate adaptation infrastructure"", ""factor"": ""increasing flood risk"", ""polarity"": ""supporting""}, {""decision"": ""launch national reforestation program"", ""factor"": ""carbon sequestration potential"", ""polarity"": ""supporting""}, {""decision"": ""expand renewable energy subsidies"", ""factor"": ""accelerate clean energy adoption"", ""polarity"": ""supporting""}, {""decision"": ""expand renewable energy subsidies"", ""factor"": ""fiscal budget pressures"", ""polarity"": ""opposing""}, {""decision"": ""phase out coal plants"", ""factor"": ""grid reliability concerns"", ""polarity"": ""opposing""}, {""decision"": ""phase out coal plants"", ""factor"": ""air quality and health benefits"", ""polarity"": ""supporting""}]",5,2,77,61-120
dset09_climate_change_5d4f_21687165,climate_change,"We decided to expand renewable energy subsidies because accelerate clean energy adoption, fiscal budget pressures. We also chose to launch national reforestation program due to carbon sequestration potential. We also chose to implement carbon pricing due to impact on low-income households, internalize emission externalities. We also chose to phase out coal plants due to air quality and health benefits, grid reliability concerns. We also chose to invest in climate adaptation infrastructure due to increasing flood risk.","We expanded renewable energy subsidies to accelerate clean energy adoption, despite fiscal budget pressures. A national reforestation program was launched to leverage its carbon sequestration potential. Carbon pricing was implemented to internalize emission externalities, though its impact on low-income households presents a challenge. The phase-out of coal plants was pursued for air quality and health benefits, even as grid reliability concerns remain. Climate adaptation infrastructure was invested in to address the growing risk of flooding.","[""expand renewable energy subsidies"", ""launch national reforestation program"", ""implement carbon pricing"", ""phase out coal plants"", ""invest in climate adaptation infrastructure""]","[{""decision"": ""expand renewable energy subsidies"", ""factor"": ""accelerate clean energy adoption"", ""polarity"": ""supporting""}, {""decision"": ""expand renewable energy subsidies"", ""factor"": ""fiscal budget pressures"", ""polarity"": ""opposing""}, {""decision"": ""launch national reforestation program"", ""factor"": ""carbon sequestration potential"", ""polarity"": ""supporting""}, {""decision"": ""implement carbon pricing"", ""factor"": ""impact on low-income households"", ""polarity"": ""opposing""}, {""decision"": ""implement carbon pricing"", ""factor"": ""internalize emission externalities"", ""polarity"": ""supporting""}, {""decision"": ""phase out coal plants"", ""factor"": ""air quality and health benefits"", ""polarity"": ""supporting""}, {""decision"": ""phase out coal plants"", ""factor"": ""grid reliability concerns"", ""polarity"": ""opposing""}, {""decision"": ""invest in climate adaptation infrastructure"", ""factor"": ""increasing flood risk"", ""polarity"": ""supporting""}]",5,2,77,61-120
