global_segment_id,statement,Lisa Causal (Y/N),Marie Y/N,Marie&Lisa Agreement,Final Y/N Solution,Type,Lisa Justification,Marie Notes,Agreement AI & Human,AI y/n,AI_  is_causal,AI_explanation,Andrew Y/N,Andrew Notes
735,Working with non-profit organizations helps people in the village with heating needs,Yes,No,,Yes,,"Direct, relationship",Possible solution ,True,Yes,True,"The statement indicates that working with non-profit organizations (cause) leads to helping people in the village with heating needs (effect), showing a clear causal relationship.",Yes,"I would have said yes because it sounds like a resultative construction, though it's a pretty distal effect"
1490,A heat pump is recommended because it is environmentally friendly,No,Yes,,No,"a) Explicit markers: because, since, therefore, thus, hence, consequently, so that, in order to","Statement, No cause/effect relationship", ,,Yes,True,"The statement uses 'because' to indicate that the environmental friendliness of a heat pump is the reason (cause) for its recommendation (effect), establishing a clear causal relationship.",No,not clear about what the cause and what the effect would be
787,Humanitarian groups from unaffected areas are sought to provide heaters for the people of Abeesee,Yes,No,,No,,"Implicit, X leads to Y",Possible solution ,True,No,False,The statement describes a request or action but does not indicate that one event directly leads to another. It lacks clear causal indicators and instead focuses on an action (providing heaters) without establishing a cause-effect relationship.,No,solution is too indirect between cause and effect
1677,Research begins with investigating the homes,No,No,True,No,,"Statement, No cause/effect relationship",Information needed ,True,No,False,"The statement describes an action (research beginning) and its starting point (investigating homes), but does not indicate any causal relationship where one event directly leads to or influences another.",,
428,The reason for high fuel prices determines the process used,Yes,No,,Yes,,"Direct, X leads to Y",Information needed ,True,Yes,True,"The statement indicates that the 'reason for high fuel prices' (cause) determines or influences the 'process used' (effect), showing a clear causal relationship.",yes,seems like a trivial statement that isn't actually useful
1511,High prices of heat contribute to individuals dying from exposure to cold in Abeesee,Yes,Yes,True,Yes,"b) Causal verbs: cause, result, produce, generate, lead, induce, trigger, prompt","Implicit, relationship",also k ,True,Yes,True,"The statement indicates that high prices of heat have a direct influence on individuals dying from exposure to cold, suggesting a causal relationship where one factor (high prices) leads to another (deaths due to cold).",,
586,The local government of Abeesee will be involved in planning a response,No,No,True,No,,"Statement, No cause/effect relationship",Identifies actors ,True,No,False,The statement describes involvement in planning but does not indicate any cause and effect relationship.,,
1252,Alternative energy resources could help the people of Abeesee,Yes,No,,No,,"Direct, X leads to Y",Possible solutionOriginal statement: I would need more details on the situation of the people of Abeesee as well as any alternative energy resources that could possibly be used to help the people of Abeesee. ,,Yes,True,"The statement suggests that alternative energy resources have a potential positive influence on helping the people of Abeesee, implying a causal relationship where the availability or use of these resources could lead to beneficial outcomes for the population.",No,unclear what the effect would be
843,Switching to wind energy helps the village,Yes,Yes,True,Yes,"e) Implied causation: If-then constructions, resultative constructions","Direct, X leads to Y",Possible solution ,True,Yes,True,"The statement indicates that switching to wind energy (cause) has a beneficial effect on the village (effect), implying a direct positive influence.",,
313,Inability to afford rising fossil fuel prices causes Villafe of Abeesee to be at risk of health problems,Yes,Yes,True,Yes,"b) Causal verbs: cause, result, produce, generate, lead, induce, trigger, prompt",Direct cause, ,True,Yes,True,The statement clearly indicates a causal relationship where the inability to afford rising fossil fuel prices (cause) directly leads to Villafe of Abeesee being at risk of health problems (effect).,,
2096,The local government needs to enter Abeesee to assess socioeconomic factors,No,No,True,No,,Statement,Information needed ,True,No,False,The statement describes a need for assessment but does not indicate any direct causal relationship between entering Abeesee and assessing socioeconomic factors.,,
2040,Current policies influence the availability of affordable heating,No,Yes,,Yes,"b) Causal verbs: cause, result, produce, generate, lead, induce, trigger, prompt","Statement, correlation", ,True,Yes,True,"The statement uses the causal verb 'influence', indicating that current policies have a direct effect on the availability of affordable heating.",yes,policies as cause and availability as effect
