global_segment_id,statement,Lisa Causal (Y/N),Marie Y/N,Marie&Lisa Agreement,Final Y/N Solution,Type,Lisa Justification,Marie Notes,Agreement AI & Human,AI y/n,AI_  is_causal,AI_explanation,Andrew Y/N,Andrew Notes
206,A more complete and thorough solution should be developed for the situation,No,No,TRUE,No,,"Statement, No cause/effect relationship; a factor",Generic ,TRUE,No,FALSE,"The statement suggests a recommendation or necessity but does not express a causal relationship between events, actions, or states.",,
998,Fossil fuels being expensive causes heat to be expensive,Yes,Yes,TRUE,Yes,"b) Causal verbs: cause, result, produce, generate, lead, induce, trigger, prompt",Direct cause, ,TRUE,Yes,TRUE,The statement uses a direct causal verb 'causes' indicating that the high cost of fossil fuels directly leads to or influences the high cost of heat.,,
1471,Knowing if the village has tried alternatives to fossil fuels is helpful,No,No,TRUE,No,,"Statement, No cause/effect relationship; a factor",Information needed ,TRUE,No,FALSE,The statement describes a condition (knowing if the village has tried alternatives) and its helpfulness but does not indicate any direct causal relationship between trying alternatives and an effect.,,
2166,The problem in Abeesee is serious,No,No,TRUE,No,,"Statement, No cause/effect relationship",Generic ,TRUE,No,FALSE,The statement describes the seriousness of a problem but does not indicate any cause or effect relationship.,,
1249,Fossil fuels are necessary for Abeesee's population to live,No,No,TRUE,No,,"Implicit, X is related to Y",Possible cause ,#N/A,Yes,TRUE,"The statement implies a necessity or dependency which suggests a causal relationship where fossil fuels (cause) enable the population of Abeesee to live (effect). However, the exact nature of this causation is not explicitly detailed.",,
419,Environmental protection measures may cause an increase in fossil fuel costs,Yes,Yes,TRUE,Yes,"b) Causal verbs: cause, result, produce, generate, lead, induce, trigger, prompt",Direct cause, ,TRUE,Yes,TRUE,"The statement uses 'may cause', indicating a potential direct causal relationship where environmental protection measures lead to an increase in fossil fuel costs.",,
1778,Issues with obtaining affordable heating sources put the lives of Abeesee's people at risk,Yes,Yes,TRUE,Yes,"b) Causal verbs: cause, result, produce, generate, lead, induce, trigger, prompt","Direct, X leads to Y", ,TRUE,Yes,TRUE,"The statement indicates that issues with obtaining affordable heating sources (the cause) directly put the lives of Abeesee's people at risk (the effect), showing a clear causal relationship.",,
1938,Providing relief is done in the short term by the town,No,No,TRUE,No,,"Statement, No cause/effect relationship",Possible solution ,TRUE,No,FALSE,"The statement describes an action (providing relief) and a timeframe (short term), but does not indicate that one event causes another. It lacks clear causal indicators.",,
1923,The government is involved with the largest heating company,No,No,TRUE,No,,"Statement, No cause/effect relationship",Identifies actors ,TRUE,No,FALSE,The statement describes involvement without indicating a direct causal relationship or influence between the government's involvement and any resulting effect on the heating company.,,
114,Local officials saying they cannot help leads to me reaching out to citizen assistance organizations,Yes,Yes,TRUE,Yes,"b) Causal verbs: cause, result, produce, generate, lead, induce, trigger, prompt","Direct, X leads to Y", ,TRUE,Yes,TRUE,The statement indicates a clear causal relationship where the action of local officials saying they cannot help directly leads to the effect of reaching out to citizen assistance organizations.,,
2105,Lack of information about funding availability results in unresolved issues,Yes,Yes,TRUE,Yes,"b) Causal verbs: cause, result, produce, generate, lead, induce, trigger, prompt","Direct, X leads to Y", ,TRUE,Yes,TRUE,"The statement uses 'results in', indicating that lack of information about funding availability directly leads to unresolved issues.",,
2132,I would reach out to the Villagers of Abeesee before understanding the situation,No,No,TRUE,No,,"Indirect, reaching out leads to more knowledge",Information needed ,TRUE,No,FALSE,The statement describes a sequence of actions (reaching out and then understanding) but does not indicate that one action causes or influences the other in a causal sense.,,
2129,The Villagers of Abeesee live in Abeesee,No,No,TRUE,No,,"Statement, No cause/effect relationship",Statement of fact ,TRUE,No,FALSE,This statement is purely descriptive and indicates where the Villagers of Abeesee live without implying any causal relationship.,,
99,An increase in prices leads to a lack of access to heat in Abeesee,Yes,Yes,TRUE,Yes,"b) Causal verbs: cause, result, produce, generate, lead, induce, trigger, prompt","Direct, X leads to Y", ,TRUE,Yes,TRUE,"The statement uses 'leads to', indicating a direct causal relationship where an increase in prices (cause) results in a lack of access to heat (effect)",,
845,The wind turbine costs around 1.3 million dollars,No,No,TRUE,No,,"Statement, No cause/effect relationship, factual",Statement of fact ,TRUE,No,FALSE,The statement provides a description of the cost of a wind turbine but does not indicate any causal relationship between events or states.,,
2119,The rising price of fossil fuels leads to the premature death of many residents in Abeesee,Yes,Yes,TRUE,Yes,"b) Causal verbs: cause, result, produce, generate, lead, induce, trigger, prompt","Direct, X leads to Y", ,TRUE,Yes,TRUE,"The statement uses a direct causal verb 'leads to', indicating that the rising price of fossil fuels directly results in the premature death of many residents in Abeesee.",,
642,Abeesee needs to know how much money to gather,No,No,TRUE,No,,Information leads to ?,Information needed ,TRUE,No,FALSE,"The statement describes a need or requirement but does not express any causal relationship between events, actions, or states.",,
2038,A lack of affordable heating causes problems in the village,Yes,Yes,TRUE,Yes,"b) Causal verbs: cause, result, produce, generate, lead, induce, trigger, prompt",Direct cause, ,TRUE,Yes,TRUE,The statement clearly indicates a causal relationship where 'a lack of affordable heating' (the cause) directly leads to 'problems in the village' (the effect).,,
775,Raise money through taxes results in funding,Yes,Yes,TRUE,Yes,"b) Causal verbs: cause, result, produce, generate, lead, induce, trigger, prompt","Direct, X leads to Y", ,TRUE,Yes,TRUE,"The statement indicates that raising money through taxes directly leads to or causes funding, showing a clear causal relationship.",,
1088,A lack of affordable heating systems causes people in the town to die,Yes,Yes,TRUE,Yes,"b) Causal verbs: cause, result, produce, generate, lead, induce, trigger, prompt",Direct cause, ,TRUE,Yes,TRUE,The statement clearly indicates a direct causal relationship where 'a lack of affordable heating systems' (the cause) leads to 'people in the town to die' (the effect). The use of the verb 'causes' is a strong indicator of causation.,,
795,Abeesee reallocates funds to help community members afford heating expenses,Yes,Yes,TRUE,Yes,"f) Causal reasoning: expressions of purpose (to, in order to), statements of intention (intend to, aim to)","Direct, X leads to Y","implied: ""in order to help…"") ",TRUE,Yes,TRUE,"The statement indicates that Abeesee's action (reallocating funds) directly leads to an effect (helping community members afford heating expenses), which implies a clear causal relationship.",,
2219,Houses with increased insulation require less heating,Yes,Yes,TRUE,Yes,"e) Implied causation: If-then constructions, resultative constructions","Direct, relationship",Resultative ,TRUE,Yes,TRUE,The statement implies a direct causal relationship where the cause (increased insulation) leads to the effect (require less heating).,,
2080,The government oversees the village,No,No,TRUE,No,,"Statement, No cause/effect relationship, factual",Statement of fact ,TRUE,No,FALSE,The statement describes an administrative or supervisory relationship but does not imply a direct causal influence where one event leads to another.,,
2120,The rising price of fossil fuels leads to the premature death of many residents in Abeesee,Yes,Yes,TRUE,Yes,"b) Causal verbs: cause, result, produce, generate, lead, induce, trigger, prompt","Direct, X leads to Y", ,TRUE,Yes,TRUE,"The statement uses a direct causal verb 'leads to', indicating that the rising price of fossil fuels directly results in the premature death of many residents in Abeesee.",,
202,Each solution has potential consequences for the residents of Abeesee,No,No,TRUE,No,,"Statement, No cause/effect relationship, factual",Generic ,#N/A,Yes,TRUE,"The statement implies that each solution (cause) has potential consequences (effect) for the residents of Abeesee, suggesting a causal relationship where solutions lead to certain outcomes or effects on the residents.",,
1125,Raising money leads to purchasing heating,Yes,Yes,TRUE,Yes,"b) Causal verbs: cause, result, produce, generate, lead, induce, trigger, prompt","Direct, X leads to Y", ,TRUE,Yes,TRUE,"The statement uses the direct causal verb 'leads to', indicating that raising money directly results in or influences the action of purchasing heating.",,
735,Working with non-profit organizations helps people in the village with heating needs,Yes,No,#N/A,Yes,,"Direct, relationship",Possible solution ,TRUE,Yes,TRUE,"The statement indicates that working with non-profit organizations (cause) leads to helping people in the village with heating needs (effect), showing a clear causal relationship.",Yes,"I would have said yes because it sounds like a resultative construction, though it's a pretty distal effect"
1115,The high cost of fossil fuels causes many Abeesee residents to go without proper heating,Yes,Yes,TRUE,Yes,"b) Causal verbs: cause, result, produce, generate, lead, induce, trigger, prompt",Direct cause, ,TRUE,Yes,TRUE,"The statement clearly indicates that the high cost of fossil fuels (cause) directly leads to Abeesee residents going without proper heating (effect), using the causal verb 'causes'.",,
1289,Finding answers to necessary questions leads to reaching out to groups,Yes,Yes,TRUE,Yes,"b) Causal verbs: cause, result, produce, generate, lead, induce, trigger, prompt","Direct, X leads to Y", ,TRUE,Yes,TRUE,"The statement uses a direct causal verb 'leads to', indicating that finding answers to necessary questions directly results in reaching out to groups.",,
1266,Inviting investors leads to receiving money from investors,Yes,Yes,TRUE,Yes,"b) Causal verbs: cause, result, produce, generate, lead, induce, trigger, prompt","Direct, X leads to Y", ,TRUE,Yes,TRUE,"The statement uses a direct causal verb 'leads to', indicating that inviting investors (the cause) directly results in receiving money from them (the effect).",,
1182,Harsh winters cause severe problems with heating homes in Abeesee,Yes,Yes,TRUE,Yes,"b) Causal verbs: cause, result, produce, generate, lead, induce, trigger, prompt",Direct cause, ,TRUE,Yes,TRUE,"The statement uses a direct causal verb 'cause', indicating that harsh winters directly lead to severe problems with heating homes in Abeesee.",,
1558,Villages obtain fossil fuel energy from certain sources,No,No,TRUE,No,,"Statement, No cause/effect relationship, factual",Statement of fact ,TRUE,No,FALSE,The statement describes a source of energy for villages but does not indicate any causal relationship where one event/action/state directly leads to or influences another.,,
1760,Fossil fuel industry representatives exist in Abeesee,No,No,TRUE,No,,"Statement, No cause/effect relationship",Identifies actors ,TRUE,No,FALSE,The statement describes the existence of fossil fuel industry representatives in a location (Abeesee) without implying any cause or effect relationship.,,
2126,Knowing the price of fossil fuels is required before developing a response in Abeesee,No,No,TRUE,No,,"Implicit, X is related to Y",Information needed ,TRUE,No,FALSE,The statement indicates a requirement or necessity rather than a causal relationship between knowing the price of fossil fuels and developing a response in Abeesee.,,
726,Non-profit groups would raise money for Abeesee village,No,No,TRUE,No,,"Statement, No cause/effect relationship",Possible solution ,TRUE,No,FALSE,The statement describes an action (raising money) by non-profit groups for Abeesee village but does not indicate a causal relationship where one event directly leads to or influences another.,,
221,Information is available about surrounding villages,No,No,TRUE,No,,"Statement, No cause/effect relationship",Statement of fact ,TRUE,No,FALSE,The statement describes availability of information but does not indicate any causal relationship between events or states.,,
2125,The planner needs to know the types of homes most residents of Abeesee live in,No,No,TRUE,No,,"Statement, No cause/effect relationship",Information needed ,TRUE,No,FALSE,The statement describes a requirement or need for information but does not indicate any causal relationship between knowing the types of homes and an effect.,,
1944,The person attracts larger companies to invest in the area,No,No,TRUE,No,,"Statement, No cause/effect relationship",Possible solution ,#N/A,Yes,TRUE,"The statement indicates that the presence or actions of 'the person' directly lead to larger companies investing in the area, which is a clear causal relationship.",,
1813,The Village of Abeesee lacks policy intervention,No,No,TRUE,No,,"Statement, No cause/effect relationship, factual",Statement of fact ,TRUE,No,FALSE,The statement describes a lack of policy intervention in the Village of Abeesee but does not indicate any causal relationship between this lack and an effect or outcome.,,
475,Villagers going without heat causes them to suffer,Yes,Yes,TRUE,Yes,"b) Causal verbs: cause, result, produce, generate, lead, induce, trigger, prompt",Direct cause, ,TRUE,Yes,TRUE,The statement clearly indicates a direct causal relationship where the cause (villagers going without heat) leads to an effect (them suffering).,,
702,The planner tries to understand the needs of the town's people,No,No,TRUE,No,,"Statement, No cause/effect relationship",Information needed ,TRUE,No,FALSE,The statement describes an action (the planner trying to understand) but does not indicate a direct cause leading to an effect or any influence on another event/state. It is more of a descriptive statement about the planner's actions.,,
1593,The average income of Abeesee residents is associated with the average heating expenses in Abeesee,No,No,TRUE,No,n) Correlation vs. Causation: Be cautious not to confuse correlation with causation,"Relationship, correlation", ,TRUE,No,FALSE,The statement indicates an association or correlation between average income and average heating expenses but does not imply a direct causal relationship.,,
1578,A stakeholder helps power the world,No,No,TRUE,No,,"Statement, No cause/effect relationship",Identifies actors ,#N/A,Yes,TRUE,"The verb 'helps' suggests a causal relationship where the action of a stakeholder contributes to or influences the outcome (powering the world). However, the exact nature and mechanism of this causation are not clearly specified.",,
1157,Insulating the houses saves energy,Yes,Yes,TRUE,Yes,"g) Types of causatives: Lexical, Morphological, Periphrastic","Direct, X leads to Y",Lexical save,TRUE,Yes,TRUE,"The statement indicates that insulating houses (cause) directly leads to saving energy (effect), showing a clear causal relationship.",,
2171,The Abeesee local government is involved in planning a response,No,No,TRUE,No,,"Statement, No cause/effect relationship",Identifies actors ,TRUE,No,FALSE,The statement describes involvement in planning but does not indicate any cause and effect relationship.,,
1908,The speaker asks the government to help with heating expenses,No,No,TRUE,No,,"Statement, No cause/effect relationship",Possible solution ,TRUE,No,FALSE,The statement describes a request or action but does not indicate that one event directly causes another. It lacks clear causal indicators.,,
1901,The cost of fossil fuels is rising,No,No,TRUE,No,,"Statement, No cause/effect relationship",Possible cause ,TRUE,No,FALSE,The statement describes an observation about the rising cost of fossil fuels but does not indicate any cause or effect relationship.,,
567,The inquiry seeks information about the surrounding areas of the Village of Abeesee,No,No,TRUE,No,,"Statement, No cause/effect relationship",Information needed ,TRUE,No,FALSE,The statement describes a purpose or goal (seeking information) but does not indicate any causal relationship between events or states.,,
1161,The size of the apartments determines the amount of gas needed to keep houses warm,No,No,TRUE,No,n) Correlation vs. Causation: Be cautious not to confuse correlation with causation,"Relationship, correlation",Information needed ,#N/A,Yes,TRUE,"The statement uses 'determines', which is a strong indicator of causation, showing that the size of the apartments directly influences the amount of gas needed for heating.",,
